,movie_rankings,movie_titles,movie_links,movie_ratings,movie_years
230,231,Rebecca,https://www.imdb.com//title/tt0032976/,8.0,1940
231,232,Life of Brian,https://www.imdb.com//title/tt0079470/,8.0,1979
232,233,In the Mood for Love,https://www.imdb.com//title/tt0118694/,8.0,2000
233,234,The Bandit,https://www.imdb.com//title/tt0116231/,8.0,1996
234,235,Hotel Rwanda,https://www.imdb.com//title/tt0395169/,8.0,2004
235,236,Rush,https://www.imdb.com//title/tt1979320/,8.0,2013
236,237,Rocky,https://www.imdb.com//title/tt0075148/,8.0,1976
237,238,Amores perros,https://www.imdb.com//title/tt0245712/,8.0,2000
238,239,Into the Wild,https://www.imdb.com//title/tt0758758/,8.0,2007
239,240,Nausicaä of the Valley of the Wind,https://www.imdb.com//title/tt0087544/,8.0,1984
240,241,Drishyam,https://www.imdb.com//title/tt3417422/,8.0,2013
241,242,Before Sunset,https://www.imdb.com//title/tt0381681/,8.0,2004
242,243,It Happened One Night,https://www.imdb.com//title/tt0025316/,8.0,1934
243,244,Demon Slayer: Mugen Train,https://www.imdb.com//title/tt11032374/,8.0,2020
244,245,Fanny and Alexander,https://www.imdb.com//title/tt0083922/,8.0,1982
245,246,Drishyam 2,https://www.imdb.com//title/tt12361178/,8.0,2021
246,247,The Battle of Algiers,https://www.imdb.com//title/tt0058946/,8.0,1966
247,248,Hera Pheri,https://www.imdb.com//title/tt0242519/,8.0,2000
248,249,Nights of Cabiria,https://www.imdb.com//title/tt0050783/,8.0,1957
249,250,96,https://www.imdb.com//title/tt7019842/,8.0,2018
